,title,year,vote_count,vote_average,popularity,genres,weightedRating
693,The Godfather,1972,6024,8,41.109264,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.672817202988232
952,The Empire Strikes Back,1980,5998,8,19.470959,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",7.671622501465522
45,Se7en,1995,5915,8,18.45743,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.667749575046907
8698,The Imitation Game,2014,5895,8,31.59594,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",7.6668026419236615
328,The Lion King,1994,5520,8,21.605761,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",7.647991819136924
7975,The Intouchables,2011,5410,8,16.086919,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",7.64206430399778
8515,The Grand Budapest Hotel,2014,4644,8,14.442048,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.594516658475843
525,The Silence of the Lambs,1991,4549,8,4.307222,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.587724522945852
6551,The Prestige,2006,4510,8,16.94556,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.58486983513868
472,Schindler's List,1993,4436,8,41.725123,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",7.579343131015238
8601,Whiplash,2014,4376,8,64.29999,"[{'id': 18, 'name': 'Drama'}]",7.574752811624309
263,Leon: The Professional,1994,4293,8,20.477329,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",7.568235192125254
3363,Memento,2000,4168,8,15.450789,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.558033581474955
2529,The Green Mile,1999,4166,8,19.96678,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.557866435866255
4229,Spirited Away,2001,3968,8,41.048867,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",7.540668878562609
1011,The Shining,1980,3890,8,19.611589,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",7.5335210397085435
880,Reservoir Dogs,1992,3821,8,12.22034,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",7.527009924229296
1838,Life Is Beautiful,1997,3643,8,39.39497,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",7.509342523069439
961,A Clockwork Orange,1971,3432,8,17.112594,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",7.486610938748266
976,The Godfather: Part II,1974,3418,8,36.629307,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.485027940145164
48,The Usual Suspects,1995,3334,8,16.302466,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",7.47532107966859
968,GoodFellas,1990,3211,8,15.424092,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.4604284994311865
1842,American History X,1998,3120,8,18.157166,"[{'id': 18, 'name': 'Drama'}]",7.448854624607558
3384,Scarface,1983,3017,8,11.299673,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.435140566129174
950,One Flew Over the Cuckoo's Nest,1975,3001,8,35.529554,"[{'id': 18, 'name': 'Drama'}]",7.432948746043339
8947,Room,2015,2838,8,12.443291,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.409610357397006
999,Dead Poets Society,1989,2786,8,19.905716,"[{'id': 18, 'name': 'Drama'}]",7.401755413835611
101,Taxi Driver,1976,2632,8,14.092713,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",7.377216295396096
974,Psycho,1960,2405,8,36.826309,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",7.33713807887824
957,"The Good, the Bad and the Ugly",1966,2371,8,16.788787,"[{'id': 37, 'name': 'Western'}]",7.330686683298535
959,12 Angry Men,1957,2130,8,16.503959,"[{'id': 18, 'name': 'Drama'}]",7.281091150976234
963,Apocalypse Now,1979,2112,8,13.5963,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",7.277090297871353
6037,Howl's Moving Castle,2004,2049,8,16.136048,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",7.262729664953996
2407,Princess Mononoke,1997,2041,8,17.166725,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",7.260865163885409
5936,Oldboy,2003,2000,8,10.616859,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 28, 'name': 'Action'}]",7.25115963983958
4421,The Pianist,2002,1927,8,14.811594,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",7.233233048939169
4432,City of God,2002,1852,8,14.95927,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",7.213898890342625
4410,My Neighbor Totoro,1988,1730,8,13.507299,"[{'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",7.1802765598917055
724,Rear Window,1954,1531,8,17.911314,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",7.118798846549748
625,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1472,8,9.80398,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",7.098759196513684
743,Citizen Kane,1941,1244,8,15.811921,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",7.011925650538837
723,Vertigo,1958,1162,8,18.20822,"[{'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",6.9764580894042645
964,Once Upon a Time in the West,1968,1160,8,15.589351,"[{'id': 37, 'name': 'Western'}]",6.975561189727963
7404,Avatar,2009,12114,7,185.070892,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",6.908148806279283
7879,The Avengers,2012,12000,7,89.887648,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",6.907350854983472
8769,Deadpool,2016,11444,7,187.860492,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",6.9032515962753935
8214,Django Unchained,2012,10297,7,19.785025,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",6.893533886144202
8616,Guardians of the Galaxy,2014,10014,7,53.291601,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",6.890828352019962
8762,Mad Max: Fury Road,2015,9629,7,29.36178,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.886918992822805
7941,The Dark Knight Rises,2012,9263,7,20.58258,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.882933816649826
2061,The Matrix,1999,9079,7,33.366332,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",6.880822324331475
6937,Iron Man,2008,8951,7,22.073099,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",6.879307965476911
8199,The Hobbit: An Unexpected Journey,2012,8427,7,23.253089,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",6.8726852848802125
8763,Star Wars: The Force Awakens,2015,7993,7,31.626013,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",6.866623610531091
1358,Titanic,1997,7770,7,26.88907,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",6.863278851540091
6152,Batman Begins,2005,7511,7,28.505341,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",6.859177248758902
8770,Captain America: Civil War,2016,7462,7,145.882135,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",6.8583734284789974
8881,The Martian,2015,7442,7,25.62993,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",6.858042695277557
4693,Pirates of the Caribbean: The Curse of the Black Pearl,2003,7191,7,47.326665,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",6.853756689132617
3810,Harry Potter and the Philosopher's Stone,2001,7188,7,38.187238,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.853703896254705
7229,Up,2009,7048,7,19.330884,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",6.851197109007527
8766,Avengers: Age of Ultron,2015,6908,7,37.37942,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",6.848602916347268
8448,The Wolf of Wall Street,2013,6768,7,16.382422,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",6.845916665750165
8890,Inside Out,2015,6737,7,23.985587,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.845308911549877
8440,The Hunger Games: Catching Fire,2013,6656,7,25.309139,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",6.843698043226769
7202,Inglourious Basterds,2009,6598,7,16.89564,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",6.8425238147550775
7563,Despicable Me,2010,6595,7,22.274502,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.842462598729508
7450,Shutter Island,2010,6559,7,15.813629,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",6.8417242767509965
8937,The Revenant,2015,6558,7,23.501228,"[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",6.8417036690061845
6973,WALL·E,2008,6439,7,16.088366,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.839212428840572
7235,The Hangover,2009,6324,7,23.947351,"[{'id': 35, 'name': 'Comedy'}]",6.836729273129983
4610,Finding Nemo,2003,6292,7,25.497794,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.836024608793038
8681,Big Hero 6,2014,6289,7,213.849907,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",6.835958234535323
8562,X-Men: Days of Future Past,2014,6155,7,26.058586,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",6.832937705696416
3803,"Monsters, Inc.",2001,6150,7,26.419962,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.8328228452003605
7831,Harry Potter and the Deathly Hallows: Part 2,2011,6141,7,24.990737,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",6.832615697804761
8744,Kingsman: The Secret Service,2015,6069,7,28.224212,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",6.8309398530793874
5398,Harry Potter and the Prisoner of Azkaban,2004,6037,7,28.460276,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.830184213682028
8767,Ant-Man,2015,6029,7,26.882388,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",6.829994247201261
8602,Gone Girl,2014,6023,7,154.801009,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",6.829851493189339
4324,Harry Potter and the Chamber of Secrets,2002,5966,7,29.741452,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.828483276823417
8168,Life of Pi,2012,5912,7,14.045042,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",6.82716661825246
7406,Sherlock Holmes,2009,5883,7,15.68604,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]",6.826451146177964
8530,Captain America: The Winter Soldier,2014,5881,7,18.717704,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",6.826401584863795
8392,Gravity,2013,5879,7,18.50194,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",6.826351995234539
6288,Harry Potter and the Goblet of Fire,2005,5758,7,24.903058,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.823298188976674
7658,Harry Potter and the Deathly Hallows: Part 1,2010,5708,7,23.300362,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.82200469363948
8319,Now You See Me,2013,5635,7,17.852022,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.820081815407568
6729,Harry Potter and the Order of the Phoenix,2007,5633,7,21.3643,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 9648, 'name': 'Mystery'}]",6.820028548929019
2858,Gladiator,2000,5566,7,23.186667,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}]",6.818225713090591
8649,The Maze Runner,2014,5540,7,76.93789,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",6.817516339372464
8671,John Wick,2014,5499,7,183.870374,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.81638639252048
8445,Frozen,2013,5440,7,24.248243,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]",6.814735593599156
7267,Harry Potter and the Half-Blood Prince,2009,5435,7,19.083723,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",6.814594329983698
0,Toy Story,1995,5415,7,21.946943,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.814027114668692
6438,Pirates of the Caribbean: Dead Man's Chest,2006,5380,7,29.455314,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",6.813026091817652
5626,The Incredibles,2004,5290,7,22.220214,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.8104018556913335
7805,X-Men: First Class,2011,5252,7,0.738633,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",6.809271595669413
1589,Saving Private Ryan,1998,5148,7,21.758054,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",6.806108200343695
6649,300,2006,5092,7,18.108408,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 10752, 'name': 'War'}]",6.804360977638244
4855,Kill Bill: Vol. 1,2003,5091,7,25.261865,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",6.804329491008965
8576,Edge of Tomorrow,2014,4979,7,31.982986,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",6.800737676506229
9047,Zootopia,2016,4961,7,26.024868,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",6.800148084859635
427,Jurassic Park,1993,4956,7,8.863776,"[{'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",6.799983689693851
8731,The Hobbit: The Battle of the Five Armies,2014,4884,7,31.718977,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",6.79758605145097
8685,Ex Machina,2015,4862,7,14.14078,"[{'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",6.796841932263067
8165,Silver Linings Playbook,2012,4840,7,14.488111,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",6.796092321789061
965,Return of the Jedi,1983,4763,7,14.586087,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",6.793424552185935
7499,Kick-Ass,2010,4747,7,17.26045,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",6.792861426966147
8336,Despicable Me 2,2013,4729,7,24.82355,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",6.7922242300022395
7545,Toy Story 3,2010,4710,7,16.96647,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",6.791547366338918
1335,The Truman Show,1998,4702,7,13.155901,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",6.791261049968255
8588,Birdman,2014,4657,7,18.193263,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",6.78963575101829
8164,Wreck-It Ralph,2012,4656,7,13.697597,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",6.7895993457419195
8441,The Hobbit: The Desolation of Smaug,2013,4633,7,20.644776,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",6.788758532757949
8572,Maleficent,2014,4607,7,19.467404,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",6.787799919613764
8659,American Sniper,2014,4600,7,19.228561,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",6.787540343113921
7211,Star Trek,2009,4574,7,15.362632,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",6.786570616430571
969,Alien,1979,4564,7,23.37742,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.786195283384057
7649,Black Swan,2010,4562,7,12.989056,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.786120058306084
6377,V for Vendetta,2006,4562,7,20.214422,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 14, 'name': 'Fantasy'}]",6.786120058306084
8605,Dawn of the Planet of the Apes,2014,4511,7,75.385211,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6.784183771689406
6623,Ratatouille,2007,4510,7,20.50803,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",6.784145454767968
8305,Star Trek Into Darkness,2013,4479,7,15.78129,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",6.7829508443309
6533,The Departed,2006,4455,7,18.515448,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",6.782016864387547
7845,Rise of the Planet of the Apes,2011,4452,7,41.613762,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",6.781899551419903
6940,Taken,2008,4444,7,16.367481,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.7815860986337855
8803,The Hateful Eight,2015,4405,7,20.328822,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 37, 'name': 'Western'}]",6.780045022874246
7494,How to Train Your Dragon,2010,4319,7,14.416681,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.776568688101427
522,Terminator 2: Judgment Day,1991,4274,7,22.661695,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.774705518389131
8837,Furious 7,2015,4253,7,27.275687,"[{'id': 28, 'name': 'Action'}]",6.7738253635887755
8455,Her,2013,4215,7,13.829515,"[{'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]",6.772215097132519
993,The Terminator,1984,4208,7,19.293562,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",6.771915964924791
6133,Star Wars: Episode III - Revenge of the Sith,2005,4200,7,13.165421,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",6.771573136073031
3416,Shrek,2001,4183,7,17.987728,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",6.770841191886587
5152,Kill Bill: Vol. 2,2004,4061,7,21.533072,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",6.765447555549466
8675,Fury,2014,4028,7,36.713807,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",6.763944714863914
840,Die Hard,1988,4005,7,16.640522,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",6.762885840666829
